Site ID,Site Name,Site Name (ar),Alternative Name,Displacement Type,Site Status,Managing Agency,Implementing Partner,FinalImplementingPartner,Funding-Implementing,Governorate,adm2,Neighborhood,adm 4,Latitude,Longitude,Accessibility,Updating Agency,Type of Visit,Total Inv,Total HH,Males 0-5,Females 0-5,Males 6-17,Females 6-17,Males 18-60,Females 18-60,Males 60+,Females 60+,Population change last month,HH departed (last 30 days),Indv departed (last 30 days),HH arrived (last 30 days),Indv arrived (last 30 days),Female headed HH (18-59 years),Child headed (0-17) HH,Unaccompanied Children,Persons with disabilities,Persons with chronic illnesses,Pregnant/ lactating women (PLW)
KYS1815,Amwaj camp,مخيم أمواج,,Makeshift site,Inactive,No SMA,,No SMA,,Khan Younis,270,An Naser,27002101,31.37649,34.29988,Accessible,IOM,In person visit,,,,,,,,,,,,,,,,,,,,,
DEB2183,Alqawalesh,القواليش,,Makeshift site,Inactive,No SMA,,No SMA,,Deir Al-Balah,265,As Salam,2651092,31.4219645,34.3483806,Accessible,IOM,In person visit,,,,,,,,,,,,,,,,,,,,,
DEB2364,Al-Mazra'a Al-Gazawi,المزرعة الغزاوي,,Makeshift site,Inactive,No SMA,,No SMA,,Deir Al-Balah,265,Deir Al Balah (east),26510151,31.40448,34.3498,Accessible,IOM,In person visit,,,,,,,,,,,,,,,,,,,,,
DEB3320,Ammar,عمار,,Scattered site,Inactive,No SMA,,No SMA,,Deir Al-Balah,265,Deir Al Balah (east),26510151,31.40262,34.34768,Accessible,IOM,In person visit,,,,,,,,,,,,,,,,,,,,,
DEB3324,Al-Amal,الامل,,Scattered site,Inactive,No SMA,,No SMA,,Deir Al-Balah,265,Deir Al Balah (east),26510151,31.40413,34.34497,Accessible,IOM,In person visit,,,,,,,,,,,,,,,,,,,,,
GZA4544,Ministry of Social Affairs,وزارة الشؤون الاجتماعية,,Collective Centre (non-UNRWA),Inactive,IOM,CESVI,CESVI,IOM/CESVI,Gaza,260,Tal El Hawa,2600113,31.50427026,34.4353674,Accessible,IOM,In person visit,,,,,,,,,,,,,,,,,,,,,
KYS1138,abo yousef camp,مخيم ابويوسف,,Makeshift site,Inactive,No SMA,,No SMA,,Khan Younis,270,An Naser,27002101,31.35932,34.2757,Accessible,IOM,In person visit,,,,,,,,,,,,,,,,,,,,,
NGZ4506,Al amal 1,موقع الامل 1 حي الكرامة,,Makeshift site,Inactive,No SMA,,No SMA,,North Gaza,255,Al Karameh,2550536,31.54789,34.461517,Accessible,ACTED,In person visit,,,,,,,,,,,,,,,,,,,,,
NGZ4531,Massr Al Habib,موقع مصر الحبيبة,,Makeshift site,Inactive,No SMA,,No SMA,,North Gaza,255,Al Karameh,2550536,31.548017,34.467745,Accessible,ACTED,In person visit,,,,,,,,,,,,,,,,,,,,,
DEB2422,Bube,بوبع,,Scattered site,Inactive,No SMA,,No SMA,,Deir Al-Balah,265,Deir Al Balah (east),26510151,31.40045,34.34947,Accessible,IOM,In person visit,,,,,,,,,,,,,,,,,,,,,
DEB3401,Al-Ayshiya School.,العاشئية,,Collective Centre (non-UNRWA),Inactive,IOM,CESVI,CESVI,IOM/CESVI,Deir Al-Balah,265,Al Hikr,2651093,31.41723966,34.34834198,Accessible,IOM,In person visit,,,,,,,,,,,,,,,,,,,,,
DEB3413,A-Rafideen,الرافضين,,Makeshift site,Inactive,No SMA,,No SMA,,Deir Al-Balah,265,Deir Al Balah (south),26510152,31.4118,34.32869,Accessible,IOM,In person visit,,,,,,,,,,,,,,,,,,,,,
GZA0344,Al Esraa,الاسراء,,Makeshift site,Inactive,IOM,PHC,PHC,IOM/PHC,Gaza,260,Southern Remal,2600119,31.512804,34.43687,Accessible,PHC,Phone interview,,,,,,,,,,,,,,,,,,,,,
GZA3500,Al Awda 4,العودة 4,,Makeshift site,Inactive,IOM,PHC,PHC,IOM/PHC,Gaza,260,An Naser-Gaza,2600123,31.5330884,34.4495388,Accessible,PHC,Phone interview,,,,,,,,,,,,,,,,,,,,,
GZA4133,Ahel Al khair,مداد الخير,,Makeshift site,Inactive,No SMA,,No SMA,,Gaza,260,Northern Remal,2600118,31.525989,34.448572,Accessible,ACTED,In person visit,,,,,,,,,,,,,,,,,,,,,
GZA4148,Zahr Hanoun,موقع زهر الحنون,,Scattered site,Inactive,No SMA,,No SMA,,Gaza,260,Northern Remal,2600118,31.5231222,34.4594026,Accessible,ACTED,In person visit,,,,,,,,,,,,,,,,,,,,,
GZA4196,Al Mafoobik Land,ارض المفوبيك  موقع المشتل,,Makeshift site,Inactive,No SMA,,No SMA,,Gaza,260,An Naser-Gaza,2600123,31.54501859,34.45582827,Accessible,ACTED,In person visit,,,,,,,,,,,,,,,,,,,,,
GZA4198,Al Kateeba Land,ارض الكتيبة,,Makeshift site,Inactive,DRC,PHC,PHC,DRC/PHC,Gaza,260,Southern Remal,2600119,31.516784,34.436733,Accessible,PHC,Phone interview,,,,,,,,,,,,,,,,,,,,,
GZA4293,Jaafar bin Abi Talib School,مدرسة جعفر بن ابي طالب,,Collective Centre (non-UNRWA),Inactive,No SMA,,No SMA,,Gaza,260,Az Zaitoun,2600122,31.497531,34.445001,Accessible,ACTED,In person visit,,,,,,,,,,,,,,,,,,,,,
GZA4362,Al Rodwan Camp,إيواء الرضوان,مخيم سوق الشيخ رضوان,Makeshift site,Inactive,DRC,PHC,PHC,DRC/PHC,Gaza,260,Ash Sheikh Radwan,2600116,31.534467,34.465988,Accessible,PHC,Phone interview,,,,,,,,,,,,,,,,,,,,,
GZA4460,Al Shishan, الشيشان,,Makeshift site,Inactive,IOM,PHC,PHC,IOM/PHC,Gaza,260,Northern Remal,2600118,31.52111152,34.45749235,Accessible,PHC,Phone interview,,,,,,,,,,,,,,,,,,,,,
GZA4517,Al Mokhabarat site 1,موقع المخابرات 1,,Collective Centre (non-UNRWA),Inactive,No SMA,,No SMA,,Gaza,260,An Naser-Gaza,2600123,31.545505,34.45523,Accessible,ACTED,In person visit,,,,,,,,,,,,,,,,,,,,,
GZA6023,Al-Muhandisin Site,موقع المهندسين,,Makeshift site,Inactive,No SMA,,No SMA,,Gaza,260,Northern Remal,2600118,31.522721,34.450816,Accessible,ACTED,In person visit,,,,,,,,,,,,,,,,,,,,,
KYS0663,German site,مخيم الالماني,,Collective Centre (non-UNRWA),Inactive,No SMA,,No SMA,,Khan Younis,270,Al Mawasi,27002154,31.3397883,34.2461167,Accessible,DRC,In person visit,,,,,,,,,,,,,,,,,,,,,
KYS1329,Jerusalem site,مخيم القدس 8,,Collective Centre (non-UNRWA),Inactive,No SMA,,No SMA,,Khan Younis,270,Al Mawasi,27002154,31.3434987,34.2479279,Accessible,DRC,In person visit,,,,,,,,,,,,,,,,,,,,,
KYS1622,Abu Al-Saeed Al-Astal camp,-,,Makeshift site,Inactive,No SMA,,No SMA,,Khan Younis,270,Al Mawasi,27002154,31.37644,34.29205,Accessible,PHC,In person visit,,,,,,,,,,,,,,,,,,,,,
KYS1839,Ard al-Astal camp 2,مخيم ارض الاسطل 2,,Makeshift site,Inactive,No SMA,,No SMA,,Khan Younis,270,Al Mawasi,27002154,31.37572,34.29497,Accessible,PHC,In person visit,,,,,,,,,,,,,,,,,,,,,
KYS4218,Al-Brazil  Site,موقع البرازيل,,Makeshift site,Inactive,No SMA,,No SMA,,Khan Younis,270,At Tahrir,27002105,31.322956,34.27151,"Inaccessible, Between orange and yellow line",DRC,Phone interview,,,,,,,,,,,,,,,,,,,,,
NGZ4336,Adnan Al Borsh,عدنان البرش,,Makeshift site,Inactive,PHC,,PHC,PHC,North Gaza,255,Ar Rawdah,25505139,31.521437,34.492904,"Inaccessible, Between orange and yellow line",PHC,Phone interview,,,,,,,,,,,,,,,,,,,,,
NGZ4502,Abu Eidah Al-Buwadi land,موقع ارض ابو عيدة البوادي,,Makeshift site,Inactive,No SMA,,No SMA,,North Gaza,255,Al Karameh,2550536,31.5481,34.4575,Accessible,ACTED,In person visit,,,,,,,,,,,,,,,,,,,,,
NGZ4504,Ahel Al Nazla Site,موقع اهل النزلة,,Collective Centre (non-UNRWA),Inactive,No SMA,,No SMA,,North Gaza,255,Al Karameh,2550536,31.546729,34.459374,Accessible,ACTED,In person visit,,,,,,,,,,,,,,,,,,,,,
NGZ4507,Al Anan site,موقع عنان,,Makeshift site,Inactive,No SMA,,No SMA,,North Gaza,255,Al Karameh,2550536,31.55151,34.46019,Accessible,ACTED,In person visit,,,,,,,,,,,,,,,,,,,,,
NGZ4514,Al Khaldi,موقع  مفترق الخالدي,,Makeshift site,Inactive,No SMA,,No SMA,,North Gaza,255,Al Karameh,2550536,31.546188,34.454724,Accessible,ACTED,In person visit,,,,,,,,,,,,,,,,,,,,,
NGZ4516,Al Moharbeen Land,ايواء المحاربين القداماء,,Makeshift site,Inactive,No SMA,,No SMA,,North Gaza,255,Al Karameh,2550536,31.547864,34.466641,Accessible,ACTED,In person visit,,,,,,,,,,,,,,,,,,,,,
NGZ4520,Al Rabea,موقع ايواء الربيع,,Makeshift site,Inactive,No SMA,,No SMA,,North Gaza,255,Al Karameh,2550536,31.5518,34.462,Accessible,ACTED,In person visit,,,,,,,,,,,,,,,,,,,,,
NGZ4521,Al Riaad,موقع الرياض,,Makeshift site,Inactive,No SMA,,No SMA,,North Gaza,255,Al Karameh,2550536,31.55151,34.46019,Accessible,ACTED,In person visit,,,,,,,,,,,,,,,,,,,,,
NGZ4523,Al-Wefaq,موقع الوفاق الكرامة,,Collective Centre (non-UNRWA),Inactive,No SMA,,No SMA,,North Gaza,255,Al Karameh,2550536,31.546477,34.467067,Accessible,ACTED,In person visit,,,,,,,,,,,,,,,,,,,,,
NGZ4525,Bissan Site,موقع بيسان,,Makeshift site,Inactive,No SMA,,No SMA,,North Gaza,255,Al Karameh,2550536,31.55162,34.46249,Accessible,ACTED,In person visit,,,,,,,,,,,,,,,,,,,,,
NGZ4530,Khattab,موقع خطاب 1,,Makeshift site,Inactive,No SMA,,No SMA,,North Gaza,255,Ibad Ar-Rahman,25505137,31.539817,34.465624,Accessible,ACTED,In person visit,,,,,,,,,,,,,,,,,,,,,
DEB4456,Al-Azhar Al kateeba shelter,مخيم جامعة الازهر - الكتيبة,,Collective Centre (non-UNRWA),Inactive,PARC,,PARC,PARC,Deir Al-Balah,265,Tal Az-Zuhour,2650597,31.42778974,34.36052641,Accessible,PARC,In person visit,,,,,,,,,,,,,,,,,,,,,
KYS1531,Hajar 3,الهاجر 5,,Makeshift site,Inactive,No SMA,,No SMA,,Khan Younis,270,An Naser,27002101,31.37317,34.3035,Accessible,IOM,In person visit,,,,,,,,,,,,,,,,,,,,,
KYS4483,Al Aqad,العقاد,,Makeshift site,Inactive,PHC,,PHC,PHC,Khan Younis,270,Al Mawasi,27002154,31.38149,34.292823,Accessible,PHC,In person visit,,,,,,,,,,,,,,,,,,,,,
GZA4485,Alhayya alkhayria,الهيئة الخيرية,,Makeshift site,Inactive,DRC,PARC,PARC,DRC/PARC,Gaza,260,An Naser-Gaza,2600123,31.54046954,34.45876534,Accessible,PARC,In person visit,,,,,,,,,,,,,,,,,,,,,
KYS4313,Sunaae Alamil,موقع صناع الامل,,Makeshift site,Inactive,No SMA,,No SMA,,Khan Younis,270,An Naser,27002101,31.36292,34.30004,Accessible,IOM,In person visit,,,,,,,,,,,,,,,,,,,,,
DEB4109,Basmat Amal Site for Cancer Patient Care,موقع بسمة امل لرعاية مرضى السرطان,,Makeshift site,Inactive,No SMA,,No SMA,,Deir Al-Balah,265,Deir Al Balah (south),26510152,31.410088,34.327045,Accessible,PARC,In person visit,,,,,,,,,,,,,,,,,,,,,
DEB4658,Al-Nakhel Site,موقع النخيل,,Makeshift site,Inactive,No SMA,,No SMA,,Deir Al-Balah,265,Deir Al Balah (east),26510151,31.396081,34.346259,Accessible,IOM,In person visit,,,,,,,,,,,,,,,,,,,,,
KYS4583,Asda Prison,سجن أصداء,,Collective Centre (non-UNRWA),Inactive,No SMA,,No SMA,,Khan Younis,270,An Naser,27002101,31.363828,34.300408,Accessible,IOM,In person visit,,,,,,,,,,,,,,,,,,,,,
KYS0893,Al Wafa,مخيم الوفاء,,Makeshift site,Inactive,No SMA,,No SMA,,Khan Younis,270,Al Mawasi,27002154,31.37877,34.29407,Accessible,PHC,In person visit,,,,,,,,,,,,,,,,,,,,,
KYS1044,Khaled Al-Astal,خالد الأسطل,,Makeshift site,Inactive,No SMA,,No SMA,,Khan Younis,270,Al Mawasi,27002154,31.38942,34.3022,Accessible,PHC,In person visit,,,,,,,,,,,,,,,,,,,,,
KYS1045,Majdey AL-Natoor,مجدي الناطور,,Makeshift site,Inactive,No SMA,,No SMA,,Khan Younis,270,Al Mawasi,27002154,31.38926,34.30422,Accessible,PHC,In person visit,,,,,,,,,,,,,,,,,,,,,
KYS1566,Al-Quds Camp,القدس,,Makeshift site,Inactive,No SMA,,No SMA,,Khan Younis,270,Al Mawasi,27002154,31.37659,34.28529,Accessible,PHC,In person visit,,,,,,,,,,,,,,,,,,,,,
KYS1595,Abo sofian alaga,ابو سفيان الاغا,,Makeshift site,Inactive,No SMA,,No SMA,,Khan Younis,270,Al Mawasi,27002154,31.38174,34.29733,Accessible,PHC,In person visit,,,,,,,,,,,,,,,,,,,,,
KYS1801,AL Horyaa,الحرية,عيد الأسطل,Makeshift site,Inactive,No SMA,,No SMA,,Khan Younis,270,Al Mawasi,27002154,31.38827,34.30394,Accessible,PHC,In person visit,,,,,,,,,,,,,,,,,,,,,
KYS1802,Alaistil Shelter,ايواء الاسطل,Yasmeen Alastal,Makeshift site,Inactive,No SMA,,No SMA,,Khan Younis,270,Al Mawasi,27002154,31.38558,34.30442,Accessible,PHC,In person visit,,,,,,,,,,,,,,,,,,,,,
KYS1842,Al Khair Camp 2,مخيم الخير 2,,Makeshift site,Inactive,No SMA,,No SMA,,Khan Younis,270,Al Mawasi,27002154,31.37886,34.29265,Accessible,PHC,In person visit,,,,,,,,,,,,,,,,,,,,,
KYS3797,Ard Al-Astal camp 1,مخيم ارض الاسطل 1,,Makeshift site,Inactive,No SMA,,No SMA,,Khan Younis,270,Al Mawasi,27002154,31.37579,34.29078,Accessible,PHC,In person visit,,,,,,,,,,,,,,,,,,,,,
KYS4222,Alaa Al-Rahman Site,موقع الاء الرحمن,,Makeshift site,Inactive,No SMA,,No SMA,,Khan Younis,270,Al Mawasi,27002154,31.388273,34.30699,Accessible,PHC,In person visit,,,,,,,,,,,,,,,,,,,,,
KYS4376,Canda Ala'hd Site,موقع كندا العهد,,Makeshift site,Inactive,No SMA,,No SMA,,Khan Younis,270,Al Mawasi,27002154,31.380462,34.304434,Accessible,PHC,In person visit,,,,,,,,,,,,,,,,,,,,,
KYS4390,North Asdaa camp,موقع شمال اصداء سي,,Makeshift site,Inactive,No SMA,,No SMA,,Khan Younis,270,Al Mawasi,27002154,31.381463,34.303301,Accessible,PHC,In person visit,,,,,,,,,,,,,,,,,,,,,
KYS4710,Al-Attar Camp 1,مخيم العطار 1,,Makeshift site,Inactive,No SMA,,No SMA,,Khan Younis,270,Batn As-Sameen,27002108,31.3369948,34.2924828,Accessible,DRC,In person visit,,,,,,,,,,,,,,,,,,,,,
NGZ3008,Hafs Center Governmental Camp,-,,Makeshift site,Inactive,No SMA,,No SMA,,North Gaza,255,Jabalya Camp,25504177,31.53708,34.48904,Accessible,IOM,In person visit,,,,,,,,,,,,,,,,,,,,,
NGZ3822,Ghazi Al-Shawa School,مدرسة غازي الشوا,,Collective Centre (non-UNRWA),Inactive,No SMA,,No SMA,,North Gaza,255,Al-Zatoon,255035,31.53712,34.52421,"Inaccessible, beyond yellow line",DRC,Phone interview,,,,,,,,,,,,,,,,,,,,,
NGZ4022,Jabalia Rehabilitation Center and Baghdad Hall,مركز التأهيل جباليا وقاعة بغداد,,Collective Centre (non-UNRWA),Inactive,No SMA,,No SMA,,North Gaza,255,Jabalya Camp,25504177,31.53068,34.494,"Inaccessible, Between orange and yellow line",IOM,In person visit,,,,,,,,,,,,,,,,,,,,,
NGZ4128,Shawa Clinic,ايواء عيادة الشوا,,Makeshift site,Inactive,No SMA,,No SMA,,North Gaza,255,Hai-Albanat,2550334,31.534492,34.526681,"Inaccessible, beyond yellow line",DRC,Phone interview,,,,,,,,,,,,,,,,,,,,,
NGZ4132,Obaid felfl,عائلة عبيد فلفل,,Makeshift site,Inactive,No SMA,,No SMA,,North Gaza,255,Madinat Ash Sheikh Zayed,25501132,31.540933,34.511368,"Inaccessible, Between orange and yellow line",DRC,Phone interview,,,,,,,,,,,,,,,,,,,,,
NGZ4138,Beit Hanoun Arab Estate,مخيم عائدون عزبة بيت حانون,,Makeshift site,Inactive,No SMA,,No SMA,,North Gaza,255,Al-Sekka,2550310,31.541116,34.523677,"Inaccessible, beyond yellow line",DRC,Phone interview,,,,,,,,,,,,,,,,,,,,,
NGZ4145,Al Bashir Camp Tel al-Zaatar,مخيم البشير تل الزعتر,,Makeshift site,Inactive,No SMA,,No SMA,,North Gaza,255,Tal Az-Za'atar,25505142,31.53220168,34.50932831,"Inaccessible, beyond yellow line",DRC,Phone interview,,,,,,,,,,,,,,,,,,,,,
NGZ4149,Basioni,مربع البساينة,,Makeshift site,Inactive,No SMA,,No SMA,,North Gaza,255,Al-Zatoon,255035,31.53979,34.52586,"Inaccessible, beyond yellow line",DRC,Phone interview,,,,,,,,,,,,,,,,,,,,,
NGZ4159,Abu Rukba camp,مخيم ابو ركبة ,,Makeshift site,Inactive,No SMA,,No SMA,,North Gaza,255,Madinat Ash Sheikh Zayed,25501132,31.544818,34.518629,"Inaccessible, beyond yellow line",DRC,Phone interview,,,,,,,,,,,,,,,,,,,,,
NGZ4161,Ahmed Al Shoqairi School,ايواء مدرسة احمد الشقيري,,Collective Centre (non-UNRWA),Inactive,No SMA,,No SMA,,North Gaza,255,Al-Sekka,2550310,31.54611,34.517204,"Inaccessible, beyond yellow line",DRC,Phone interview,,,,,,,,,,,,,,,,,,,,,
NGZ4162,Safi,صافي,,Makeshift site,Inactive,No SMA,,No SMA,,North Gaza,255,Tal Az-Za'atar,25505142,31.52663431,34.50564639,"Inaccessible, beyond yellow line",DRC,Phone interview,,,,,,,,,,,,,,,,,,,,,
NGZ4163,Al Amal,الأمل,,Makeshift site,Inactive,No SMA,,No SMA,,North Gaza,255,An Nuzhah,25505141,31.52878388,34.4955929,"Inaccessible, Between orange and yellow line",IOM,In person visit,,,,,,,,,,,,,,,,,,,,,
NGZ4166,Al Falojaa,الفلوجة,,Makeshift site,Inactive,No SMA,,No SMA,,North Gaza,255,Az Zohour,25505143,31.53638881,34.48976069,Accessible,IOM,In person visit,,,,,,,,,,,,,,,,,,,,,
NGZ4177,Ard Hadad,أرض الحداد,,Makeshift site,Inactive,No SMA,,No SMA,,North Gaza,255,As-Salam,25505138,31.51823887,34.50330556,"Inaccessible, beyond yellow line",DRC,Phone interview,,,,,,,,,,,,,,,,,,,,,
NGZ4180,Ard Malaab w Nuzha,أرض ملعب ونزهة,,Makeshift site,Inactive,No SMA,,No SMA,,North Gaza,255,An Nuzhah,25505141,31.52833973,34.48996327,"Inaccessible, Between orange and yellow line",IOM,In person visit,,,,,,,,,,,,,,,,,,,,,
NGZ4239,Al insan 1 camp,مخيم الانسان,جباليا خلف ابو سلطان,Makeshift site,Inactive,No SMA,,No SMA,,North Gaza,255,An Nuzhah,25505141,31.527907,34.494412,"Inaccessible, Between orange and yellow line",IOM,In person visit,,,,,,,,,,,,,,,,,,,,,
NGZ4256,Al-Salam site,موقع السلام,موقع السكة,Makeshift site,Inactive,No SMA,,No SMA,,North Gaza,255,Jabalya Camp,25504177,31.534235,34.495825,"Inaccessible, Between orange and yellow line",IOM,In person visit,,,,,,,,,,,,,,,,,,,,,
NGZ4260,Al sheekh eid camp,مخيم الشيخ عيد,,Makeshift site,Inactive,No SMA,,No SMA,,North Gaza,255,Tal Az-Za'atar,25505142,31.534426,34.510099,"Inaccessible, beyond yellow line",DRC,Phone interview,,,,,,,,,,,,,,,,,,,,,
NGZ4298,Kamal Alahood School,مدرسة كمال العهود عزبة عبد ربه ,,Collective Centre (non-UNRWA),Inactive,No SMA,,No SMA,,North Gaza,255,As-Salam,25505138,31.517989,34.496811,"Inaccessible, beyond yellow line",IOM,In person visit,,,,,,,,,,,,,,,,,,,,,
NGZ4299,Masqat School Tjamoa,تجمع مدرسة مسقط والمحكمة والتربية والتعليم,,Collective Centre (non-UNRWA),Inactive,No SMA,,No SMA,,North Gaza,255,Madinat Ash Sheikh Zayed,25501132,31.544159,34.515646,"Inaccessible, beyond yellow line",DRC,Phone interview,,,,,,,,,,,,,,,,,,,,,
NGZ4300,Mohammed Alzwari Camp,مخيم محمد الزواري,مخيم الزين,Makeshift site,Inactive,No SMA,,No SMA,,North Gaza,255,As-Salam,25505138,31.520393,34.495408,"Inaccessible, beyond yellow line",IOM,In person visit,,,,,,,,,,,,,,,,,,,,,
NGZ4322,WHDAN CAMP,مخيم الوهادين بشارع البنات بيت حانون,,Makeshift site,Inactive,No SMA,,No SMA,,North Gaza,255,Hai-Albanat,2550334,31.529982,34.52715,"Inaccessible, beyond yellow line",DRC,Phone interview,,,,,,,,,,,,,,,,,,,,,
